"Date","Price","Open","High","Low","Vol.","Change %"
"May 17, 2012","79.91","79.91","79.91","79.91","-","0.63%"
"May 16, 2012","79.41","79.41","79.41","79.41","-","0.28%"
"May 15, 2012","79.19","79.19","79.19","79.19","-","0.27%"
"May 14, 2012","78.98","78.98","78.98","78.98","-","0.66%"
"May 11, 2012","78.46","78.46","78.46","78.46","-","0.13%"
"May 10, 2012","78.36","78.36","78.36","78.36","-","0.35%"
"May 09, 2012","78.09","78.09","78.09","78.09","-","0.00%"
"May 08, 2012","78.09","78.09","78.09","78.09","-","-0.52%"
"May 07, 2012","78.50","78.50","78.50","78.50","-","-0.09%"
"May 04, 2012","78.57","78.57","78.57","78.57","-","0.82%"
"May 03, 2012","77.93","77.93","77.93","77.93","-","1.13%"
"May 02, 2012","77.06","77.06","77.06","77.06","-","0.20%"
"Apr 30, 2012","76.91","76.91","76.91","76.91","-","0.26%"
"Apr 27, 2012","76.71","76.71","76.71","76.71","-","-0.53%"
"Apr 26, 2012","77.12","77.12","77.12","77.12","-","-1.49%"
"Apr 25, 2012","78.29","78.29","78.29","78.29","-","0.49%"
"Apr 24, 2012","77.91","77.91","77.91","77.91","-","0.92%"
"Apr 23, 2012","77.20","77.20","77.20","77.20","-","0.63%"
"Apr 20, 2012","76.72","76.72","76.72","76.72","-","0.76%"
"Apr 19, 2012","76.14","76.14","76.14","76.14","-","0.86%"
"Apr 18, 2012","75.49","75.49","75.49","75.49","-","0.75%"
"Apr 17, 2012","74.93","74.93","74.93","74.93","-","0.33%"
"Apr 16, 2012","74.68","74.68","74.68","74.68","-","-0.05%"
"Apr 13, 2012","74.72","74.72","74.72","74.72","-","0.47%"
"Apr 12, 2012","74.37","74.37","74.37","74.37","-","0.36%"
"Apr 11, 2012","74.10","74.10","74.10","74.10","-","0.53%"
"Apr 10, 2012","73.71","73.71","73.71","73.71","-","-0.35%"
"Apr 05, 2012","73.97","73.97","73.97","73.97","-","0.07%"
"Apr 04, 2012","73.92","73.92","73.92","73.92","-","0.71%"
"Apr 03, 2012","73.40","73.40","73.40","73.40","-","0.22%"
"Apr 02, 2012","73.24","73.24","73.24","73.24","-","-0.31%"
"Mar 30, 2012","73.47","73.47","73.47","73.47","-","0.01%"
"Mar 29, 2012","73.46","73.46","73.46","73.46","-","-0.10%"
"Mar 28, 2012","73.53","73.53","73.53","73.53","-","0.20%"
"Mar 27, 2012","73.38","73.38","73.38","73.38","-","0.20%"
"Mar 26, 2012","73.23","73.23","73.23","73.23","-","-0.39%"
"Mar 23, 2012","73.52","73.52","73.52","73.52","-","0.74%"
